koatuu;latitude;longitude
0122788402;45.1930556;36.3269444
0122788600;45.3670000;36.1830000
0122788601;45.3638889;36.1847222
0122788602;45.3722222;36.1847222
0122788603;45.3333333;36.2152778
0122788604;45.3097222;36.2236111
0123155100;45.4463889;34.7344444
0123155101;45.4644444;34.7319444
0123155102;45.4805556;34.7166667
0123180400;45.5203930;34.8314470
0123180401;45.5138889;34.8200000
0123180402;45.4875000;34.8025000
0123180403;45.5463889;34.8580556
0123180600;45.2850000;34.5938889
0123180601;45.2847222;34.6175000
0123180602;45.2719444;34.6102778
0123180603;45.2944444;34.5750000
0123180800;45.5341520;34.8962280
0123180801;45.5341519;34.8962281
0123181200;45.3999420;34.7203760
0123181201;45.3958333;34.7569444
0123181202;45.4013889;34.6833333
0123181500;45.2741667;34.6616667
0123181501;45.2750000;34.6583333
0123181502;45.2536111;34.6455556
0123181503;45.2750000;34.7083333
0123182000;45.5486111;34.7125000
0123182001;45.5480556;34.7130556
0123182002;45.5166667;34.7111111
0123182003;45.5777778;34.7263889
0123182004;45.5625000;34.7833333
0123182200;45.3750000;34.7194444
0123182201;45.3747222;34.7197222
0123182202;45.3622222;34.7091667
0123182203;45.3708333;34.7291667
0123182204;45.3319444;34.7319444
0123182400;45.5673550;34.9402280
0123182401;45.5708333;34.9430556
0123182600;45.3166667;34.6750000
0123182601;45.3169444;34.6755556
0123182602;45.3005556;34.7088889
0123182800;45.4791667;34.8097222
0123182801;45.4791667;34.8094444
0123182802;45.4936111;34.8158333
0123182803;45.4963889;34.8755556
0123183000;45.4500000;34.6847222
0123183001;45.4500000;34.6847222
0123183002;45.4458333;34.6541667
0123183003;45.4513889;34.7194444
0123183004;45.4611111;34.7194444
0123183005;45.4722222;34.6652778
0123183400;45.5263889;34.6402778
0123183401;45.5263889;34.6408333
0123183402;45.5461111;34.6638889
0123183403;45.5194444;34.5930556
0123184600;45.4513889;34.6041667
0123184601;45.4511111;34.6036111
0123184602;45.4680556;34.5963889
0123184603;45.4413889;34.5402778
0123185000;45.4833300;34.8611100
0123185001;45.4836111;34.8613889
0123185002;45.4677778;34.8466667
0123185200;45.6400000;34.8820000
0123185201;45.6472222;34.8427778
0123185202;45.6263889;34.8986111
0123185203;45.6319444;34.9263889
0123185204;45.6625000;34.8769444
0123186100;45.3083333;34.6541667
0123186101;45.3083333;34.6538889
0123186102;45.3722222;34.6402778
0123186103;45.3241667;34.6727778
0123187200;45.4500000;34.7875000
0123187201;45.4500000;34.7875000
0123187202;45.4566667;34.8000000
0123187203;45.4588889;34.7616667
0123187401;45.6041667;34.8333333
0123187402;45.6222222;34.7458333
0123187403;45.5805556;34.8736111
0123187404;45.6116667;34.8855556
0123187405;45.6027778;34.8861111
0123187406;45.5950000;34.8811111
0123555100;45.7138900;33.8583300
0123555101;45.7394444;33.8788889
0123555102;45.6900000;33.8888889
